name,gui,cli,programming language:c++,programming language:lua,programming language:python,programming language:ruby,programming language:java,programming language:c-sharp,programming language:c,programming language:erlang,programming language:*
adch++,,X,X,X,X,X,,,,,
adch++ gui,X,,X,,X,,,,,,
dshub,X,X,,,X,,X,,,,
flexhub,,X,,X,,,,,,,
luadch,,X,X,X,,,,,,,
luadch gui,X,,,X,,,,,,,
nexthub,X,,,,,,,X,,,
uhub,,X,,,,,,,X,,
erlhub,,,,,,,,,,X,
starlet adc hub,,X,,,,,,,X,,
starhub,X,,,,,,X,,,,
rushub,,X,X,,,,,,,,
