pertinence,freq
2,Frequence > 1
0,Frequence > 1
2,Frequence > 1
1,Frequence > 1
2,Frequence = 1
0,Frequence = 1
2,Frequence = 1
0,Frequence = 1
1,Frequence = 1
1,Frequence = 1
0,Frequence = 1
2,Frequence = 1
0,Frequence = 1
0,Frequence = 1
1,Frequence = 1
0,Frequence = 1
0,Frequence = 1
0,Frequence = 1
0,Frequence = 1
0,Frequence = 1
0,Frequence = 1
0,Frequence = 1
1,Frequence = 1
0,Frequence = 1
0,Frequence = 1
0,Frequence = 1
1,Frequence = 1
0,Frequence = 1
2,Frequence = 1
0,Frequence = 1
2,Frequence = 1
0,Frequence = 1
0,Frequence = 1
0,Frequence = 1
1,Frequence = 1
