name,+first public release:1997,+first public release:1998,+first public release:2002,+first public release:2003,+first public release:2004,+first public release:2005,+first public release:2006,+first public release:2008,+first public release:2009,+first public release:2011,+first public release:2012,+first public release:[1997-1998],+first public release:[1998-2002],+first public release:[2002-2003],+first public release:[2003-2004],+first public release:[2004-2005],+first public release:[2005-2006],+first public release:[2006-2008],+first public release:[2008-2009],+first public release:[2009-2011],+first public release:[2011-2012],+first public release:[1997-2002],+first public release:[1998-2003],+first public release:[2002-2004],+first public release:[2003-2005],+first public release:[2004-2006],+first public release:[2005-2008],+first public release:[2006-2009],+first public release:[2008-2011],+first public release:[2009-2012],+first public release:[1997-2003],+first public release:[1998-2004],+first public release:[2002-2005],+first public release:[2003-2006],+first public release:[2004-2008],+first public release:[2005-2009],+first public release:[2006-2011],+first public release:[2008-2012],+first public release:[1997-2004],+first public release:[1998-2005],+first public release:[2002-2006],+first public release:[2003-2008],+first public release:[2004-2009],+first public release:[2005-2011],+first public release:[2006-2012],+first public release:[1997-2005],+first public release:[1998-2006],+first public release:[2002-2008],+first public release:[2003-2009],+first public release:[2004-2011],+first public release:[2005-2012],+first public release:[1997-2006],+first public release:[1998-2008],+first public release:[2002-2009],+first public release:[2003-2011],+first public release:[2004-2012],+first public release:[1997-2008],+first public release:[1998-2009],+first public release:[2002-2011],+first public release:[2003-2012],+first public release:[1997-2009],+first public release:[1998-2011],+first public release:[2002-2012],+first public release:[1997-2011],+first public release:[1998-2012],+first public release:[1997-2012],+first public release:*,cost:free,cost:non-free,cost:*,software license:proprietary,software license:gpl,software license:mit,software license:bsd,software license:*,based framework:bass audio library,based framework:gstreamer,based framework:xine,based framework:mplayer,based framework:vlc,based framework:directshow,based framework:quicktime,based framework:*,based framework:xmms based,based framework:av foundation,based framework:core audio,based framework:wasabi,based framework:original,written in:delphi,written in:c++,written in:c,written in:java,written in:c#,written in:objective-c,written in:python,written in:*,written in:visual basic .net
aimp,,,,,,,X,,,,,,,,,,X,X,,,,,,,,X,X,X,,,,,,X,X,X,X,,,,X,X,X,X,X,,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,,X,,,X,,,,,X,,,,,,,,,,,,,X,,,,,,,,
amarok,,,,X,,,,,,,,,,X,X,,,,,,,,X,X,X,,,,,,X,X,X,X,,,,,X,X,X,X,,,,X,X,X,X,,,X,X,X,X,,X,X,X,X,X,X,X,X,X,X,,X,,,,X,,,,,X,X,X,X,X,X,,,,,,,,X,,,,,,,
aqualung,,,,,,,X,,,,,,,,,,X,X,,,,,,,,X,X,X,,,,,,X,X,X,X,,,,X,X,X,X,X,,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,,X,,,,X,,,,,,,,,,,X,,,,,,,,X,,,,,,
atunes,,,,,,,X,,,,,,,,,,X,X,,,,,,,,X,X,X,,,,,,X,X,X,X,,,,X,X,X,X,X,,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,,X,,,,X,,,,,,,,,,,X,,,,,,,,,X,,,,,
audacious,,,,,,X,,,,,,,,,,X,X,,,,,,,,X,X,X,,,,,,X,X,X,X,,,,X,X,X,X,X,,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,,X,,,,X,,,,,,,,,,,,X,,,,,,X,X,,,,,,
banshee,,,,,,X,,,,,,,,,,X,X,,,,,,,,X,X,X,,,,,,X,X,X,X,,,,X,X,X,X,X,,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,,X,,,,,X,,,,X,,,,,,,,,,,,,,,,X,,,,
beep media player,,,,,X,,,,,,,,,,X,X,,,,,,,,X,X,X,,,,,,X,X,X,X,,,,X,X,X,X,X,,,X,X,X,X,X,,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,,X,,,,X,,,,,,,,,,,,X,,,,,,,X,,,,,,
clementine,,,,,,,,,,X,,,,,,,,,,X,X,,,,,,,,X,X,,,,,,,X,X,,,,,,X,X,,,,,X,X,,,,X,X,,,X,X,,X,X,X,X,X,,X,,,,X,,,,,X,,,,,,,,,,,,,X,,,,,,,
cmus,,,,,,X,,,,,,,,,,X,X,,,,,,,,X,X,X,,,,,,X,X,X,X,,,,X,X,X,X,X,,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,,X,,,,X,,,,,,,,,,,X,,,,,,,,X,,,,,,
cog,,,,,,,X,,,,,,,,,,X,X,,,,,,,,X,X,X,,,,,,X,X,X,X,,,,X,X,X,X,X,,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,,X,,,,X,,,,,,,,,,,X,,,,,,,,,,,X,,,
exaile,,,,,,,X,,,,,,,,,,X,X,,,,,,,,X,X,X,,,,,,X,X,X,X,,,,X,X,X,X,X,,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,,X,,,,X,,,,,X,,,,,,,,,,,,,,,,,,X,,
ecoute,,,,,,,,X,,,,,,,,,,X,X,,,,,,,,X,X,X,,,,,,X,X,X,X,,,,X,X,X,X,,,X,X,X,X,,X,X,X,X,X,X,X,X,X,X,X,X,X,X,,X,,,X,,,,,,,,,,,X,,,X,,,,,,,,,X,,,
flash mp3 player,,,,,,,,X,,,,,,,,,,X,X,,,,,,,,X,X,X,,,,,,X,X,X,X,,,,X,X,X,X,,,X,X,X,X,,X,X,X,X,X,X,X,X,X,X,X,X,X,X,,X,,,X,,,,,,,,,,,,X,,,,,,,,,,,,,X,
foobar2000,,,X,,,,,,,,,,X,X,,,,,,,,X,X,X,,,,,,,X,X,X,,,,,,X,X,X,,,,,X,X,X,,,,X,X,X,,,X,X,X,,X,X,X,X,X,X,,X,,,X,,,X,,,,,,,,,X,,,,,,,X,,,,,,,
guayadeque music player,,,,X,,,,,,,,,,X,X,,,,,,,,X,X,X,,,,,,X,X,X,X,,,,,X,X,X,X,,,,X,X,X,X,,,X,X,X,X,,X,X,X,X,X,X,X,X,X,X,,X,,,,X,,,,,X,,,,,,,,,,,,,X,,,,,,,
gear player,,,,,,,,,,,X,,,,,,,,,,X,,,,,,,,,X,,,,,,,,X,,,,,,,X,,,,,,X,,,,,X,,,,X,,,X,,X,X,,,X,,X,,,,,,,,,,,,,,,X,,,,,,,,X,,,
juk,,,,X,,,,,,,,,,X,X,,,,,,,,X,X,X,,,,,,X,X,X,X,,,,,X,X,X,X,,,,X,X,X,X,,,X,X,X,X,,X,X,X,X,X,X,X,X,X,X,,X,,,,X,,,,,,,,,,,X,,,,,,,X,,,,,,,
mediamonkey standard,,,,X,,,,,,,,,,X,X,,,,,,,,X,X,X,,,,,,X,X,X,X,,,,,X,X,X,X,,,,X,X,X,X,,,X,X,X,X,,X,X,X,X,X,X,X,X,X,X,,X,,,X,,,,,,,,,,,,X,,,,,,X,,X,,,,,,
mediamonkey gold,,,,X,,,,,,,,,,X,X,,,,,,,,X,X,X,,,,,,X,X,X,X,,,,,X,X,X,X,,,,X,X,X,X,,,X,X,X,X,,X,X,X,X,X,X,X,X,X,X,,,X,,X,,,,,,,,,,,,X,,,,,,X,,X,,,,,,
mediamonkey lifetime,,,,X,,,,,,,,,,X,X,,,,,,,,X,X,X,,,,,,X,X,X,X,,,,,X,X,X,X,,,,X,X,X,X,,,X,X,X,X,,X,X,X,X,X,X,X,X,X,X,,,X,,X,,,,,,,,,,,,X,,,,,,X,,X,,,,,,
mpxplay,,X,,,,,,,,,,X,X,,,,,,,,,X,X,,,,,,,,X,X,,,,,,,X,X,,,,,,X,X,,,,,X,X,,,,X,X,,,X,X,,X,X,X,,X,,,,X,,,,,,,,,,,X,,,,,,,,,,,,,X,
music on console,,,X,,,,,,,,,,X,X,,,,,,,,X,X,X,,,,,,,X,X,X,,,,,,X,X,X,,,,,X,X,X,,,,X,X,X,,,X,X,X,,X,X,X,X,X,X,,X,,,,X,,,,,,,,,,,X,,,,,,,,X,,,,,,
music player daemon,,,,X,,,,,,,,,,X,X,,,,,,,,X,X,X,,,,,,X,X,X,X,,,,,X,X,X,X,,,,X,X,X,X,,,X,X,X,X,,X,X,X,X,X,X,X,X,X,X,,X,,,,X,,,,,,,,,,,X,,,,,,,,X,,,,,,
musicbee,,,,,,,,X,,,,,,,,,,X,X,,,,,,,,X,X,X,,,,,,X,X,X,X,,,,X,X,X,X,,,X,X,X,X,,X,X,X,X,X,X,X,X,X,X,X,X,X,X,,X,,,X,,,,,X,,,,,,,,,,,,,,,,,,,,,X
musikcube,,,,,,X,,,,,,,,,,X,X,,,,,,,,X,X,X,,,,,,X,X,X,X,,,,X,X,X,X,X,,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,,X,,,,,,X,,,,,,,,,X,,,,,,,,,,,,,X,
napster,,,,X,,,,,,,,,,X,X,,,,,,,,X,X,X,,,,,,X,X,X,X,,,,,X,X,X,X,,,,X,X,X,X,,,X,X,X,X,,X,X,X,X,X,X,X,X,X,X,,,X,,X,,,,,,,,,,,,X,,,,,,,,,,,,,X,
quod libet,,,,,X,,,,,,,,,,X,X,,,,,,,,X,X,X,,,,,,X,X,X,X,,,,X,X,X,X,X,,,X,X,X,X,X,,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,,X,,,,X,,,,,X,,,,,,,,,,,,,,,,,,X,,
rdio,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,X,,,X,,,,,,,,,,,,X,,,,,,,,,,,,,X,
rhapsody,,,,X,,,,,,,,,,X,X,,,,,,,,X,X,X,,,,,,X,X,X,X,,,,,X,X,X,X,,,,X,X,X,X,,,X,X,X,X,,X,X,X,X,X,X,X,X,X,X,,X,,,X,,,,,,,,,,,,X,,,,,,,,,,,,,X,
rhythmbox,,,,,X,,,,,,,,,,X,X,,,,,,,,X,X,X,,,,,,X,X,X,X,,,,X,X,X,X,X,,,X,X,X,X,X,,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,,X,,,,X,,,,,X,,,,,,,,,,,,,,X,,,,,,
songbird,,,,,,,X,,,,,,,,,,X,X,,,,,,,,X,X,X,,,,,,X,X,X,X,,,,X,X,X,X,X,,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,,X,,,,X,,,,,X,,,,,,,,,,,,,,,,,,,X,
sonique,,X,,,,,,,,,,X,X,,,,,,,,,X,X,,,,,,,,X,X,,,,,,,X,X,,,,,,X,X,,,,,X,X,,,,X,X,,,X,X,,X,X,X,,X,,,X,,,,,,,,,,,,X,,,,,,,,,,,,,X,
spotify,,,,,,,,X,,,,,,,,,,X,X,,,,,,,,X,X,X,,,,,,X,X,X,X,,,,X,X,X,X,,,X,X,X,X,,X,X,X,X,X,X,X,X,X,X,X,X,X,X,,,X,,X,,,,,,,,,,,,X,,,,,,,,,,,,,X,
style jukebox,,,,,,,,,X,,,,,,,,,,X,X,,,,,,,,X,X,X,,,,,,X,X,X,,,,,X,X,X,,,,X,X,X,,,X,X,X,,X,X,X,X,X,X,X,X,X,,X,,,X,,,,,,,,,,,,X,,,,,,,,,,X,,,,
winamp,X,,,,,,,,,,,X,,,,,,,,,,X,,,,,,,,,X,,,,,,,,X,,,,,,,X,,,,,,X,,,,,X,,,,X,,,X,,X,,X,,,X,,,,,,,,,,,,,,,,X,,,X,X,,,,,,
xmms,X,,,,,,,,,,,X,,,,,,,,,,X,,,,,,,,,X,,,,,,,,X,,,,,,,X,,,,,,X,,,,,X,,,,X,,,X,,X,,X,,,,X,,,,,,,,,,,,,,,,X,,,X,,,,,,
xmplay,,X,,,,,,,,,,X,X,,,,,,,,,X,X,,,,,,,,X,X,,,,,,,X,X,,,,,,X,X,,,,,X,X,,,,X,X,,,X,X,,X,X,X,,X,,,X,,,,,X,,,,,,,,,,,,X,,,,,,,,X,
